# mass,test,train
1.000000000000000000e+00,8.488343856240894159e-01,8.599999999999999867e-01
6.000000000000000000e+00,8.473773676542010191e-01,8.569999999999999840e-01
1.100000000000000000e+01,8.460417678484701831e-01,8.559999999999999831e-01
1.600000000000000000e+01,8.440990772219524318e-01,8.529999999999999805e-01
2.100000000000000000e+01,8.420349684312773419e-01,8.509999999999999787e-01
2.600000000000000000e+01,8.400922778047595907e-01,8.459999999999999742e-01
3.100000000000000000e+01,8.376639145216124849e-01,8.439999999999999725e-01
3.600000000000000000e+01,8.330500242836328395e-01,8.389999999999999680e-01
4.100000000000000000e+01,8.280718795531811782e-01,8.359999999999999654e-01
4.600000000000000000e+01,8.223652258377853741e-01,8.289999999999999591e-01
5.100000000000000000e+01,8.170228266148615859e-01,8.179999999999999494e-01
5.000000000000000000e+01,8.181155900922778557e-01,0.000000000000000000e+00
6.000000000000000000e+01,8.012384652744050095e-01,0.000000000000000000e+00
7.000000000000000000e+01,7.897037396794560626e-01,0.000000000000000000e+00
8.000000000000000000e+01,7.875182127246236341e-01,0.000000000000000000e+00
9.000000000000000000e+01,7.917678484701311525e-01,0.000000000000000000e+00
1.000000000000000000e+02,8.062166100048567818e-01,0.000000000000000000e+00
1.100000000000000000e+02,8.136231180184555489e-01,0.000000000000000000e+00
1.200000000000000000e+02,8.229723166585720673e-01,0.000000000000000000e+00
1.300000000000000000e+02,8.334142787761048554e-01,0.000000000000000000e+00
1.400000000000000000e+02,8.392423506556581092e-01,0.000000000000000000e+00
1.500000000000000000e+02,8.451918406993685906e-01,0.000000000000000000e+00
1.600000000000000000e+02,8.517484215638659872e-01,0.000000000000000000e+00
1.700000000000000000e+02,8.581835842642059342e-01,0.000000000000000000e+00
1.800000000000000000e+02,8.688683827100533996e-01,0.000000000000000000e+00
1.900000000000000000e+02,8.664400194269062938e-01,0.000000000000000000e+00
2.000000000000000000e+02,8.666828557552209711e-01,0.000000000000000000e+00
2.100000000000000000e+02,8.651044196211753468e-01,0.000000000000000000e+00
2.200000000000000000e+02,8.659543467702768282e-01,0.000000000000000000e+00
2.300000000000000000e+02,8.675327829043224526e-01,0.000000000000000000e+00
2.400000000000000000e+02,8.714181641573579551e-01,0.000000000000000000e+00
2.500000000000000000e+02,8.734822729480330450e-01,0.000000000000000000e+00
2.600000000000000000e+02,8.765177270519669550e-01,0.000000000000000000e+00
2.700000000000000000e+02,8.767605633802817433e-01,0.000000000000000000e+00
2.800000000000000000e+02,8.797960174842156533e-01,0.000000000000000000e+00
2.900000000000000000e+02,8.817387081107334046e-01,0.000000000000000000e+00
3.000000000000000000e+02,8.831957260806216903e-01,0.000000000000000000e+00
3.100000000000000000e+02,8.862311801845556003e-01,0.000000000000000000e+00
3.200000000000000000e+02,8.881738708110733516e-01,0.000000000000000000e+00
3.300000000000000000e+02,8.830743079164643516e-01,0.000000000000000000e+00
3.400000000000000000e+02,8.829528897523069020e-01,0.000000000000000000e+00
3.500000000000000000e+02,8.813744536182612777e-01,0.000000000000000000e+00
3.600000000000000000e+02,8.804031083050024575e-01,0.000000000000000000e+00
3.700000000000000000e+02,8.824672170956775474e-01,0.000000000000000000e+00
3.800000000000000000e+02,8.827100534239922247e-01,0.000000000000000000e+00
3.900000000000000000e+02,8.834385624089363676e-01,0.000000000000000000e+00
4.000000000000000000e+02,8.848955803788246532e-01,0.000000000000000000e+00
4.100000000000000000e+02,8.867168528411850659e-01,0.000000000000000000e+00
4.200000000000000000e+02,8.873239436619718701e-01,0.000000000000000000e+00
4.300000000000000000e+02,8.880524526469160129e-01,0.000000000000000000e+00
4.400000000000000000e+02,8.918164157357940658e-01,0.000000000000000000e+00
4.500000000000000000e+02,8.899951432734336532e-01,0.000000000000000000e+00
