filename,z_score of walker,accuracy,operation
HCTSA_DistalPhalanxTW_N.mat,-0.248028674055731,29.8150201258738,2668
HCTSA_RefrigerationDevices_N.mat,-0.13079646099115,40.4,2675
HCTSA_DistalPhalanxOutlineAgeGroup_N.mat,-0.106116037845238,53.1678356096961,2671
HCTSA_InlineSkate_N.mat,-0.100237498878931,19.7673244380838,2675
HCTSA_OSULeaf_N.mat,-0.0845643581792351,28.548199653132,2660
HCTSA_ShapeletSim_N.mat,-0.0775331015012845,60.5,2664
HCTSA_FordB_N.mat,0.258659224000865,59.9407726477319,2677
HCTSA_HeartbeatBIDMC_N.mat,0.287781441886569,14.8333333333333,2672
HCTSA_BirdChicken_N.mat,0.316122216170349,67.5,2660
HCTSA_WormsTwoClass_N.mat,0.349873895300771,57.6134474478173,2660
HCTSA_Worms_N.mat,0.393201275706206,34.6559302063889,2676
HCTSA_UWaveGestureLibraryZ_N.mat,0.411627733500627,23.2451124456938,2677
HCTSA_ShapesAll_N.mat,0.443507073139766,8,2673
HCTSA_Trace_N.mat,0.449914642955233,62.5,2670
HCTSA_FaceFour_N.mat,0.481782900441784,44.1699790330622,2677
HCTSA_ToeSegmentation2_N.mat,0.564335710491417,63.1336405529954,2663
HCTSA_FiftyWords_N.mat,0.67052345801973,8.71537299087926,2665
HCTSA_ElectricDeviceOn_N.mat,0.729203301993976,62.2578347578348,2672
HCTSA_ToeSegmentation1_N.mat,0.891057308359172,64.6651785714286,2669
HCTSA_UWaveGestureLibraryAll_N.mat,0.928006610130546,25.5190231280348,2661
HCTSA_TwoPatterns_N.mat,0.946127684040498,32.8031311931645,2664
HCTSA_WordSynonyms_N.mat,0.976569590089793,9.63920219114727,2662
HCTSA_CinCECGtorso_N.mat,0.981398759543967,50.5633802816901,2666
HCTSA_NonInvasiveFatalECGThorax1_N.mat,1.00491975029737,12.5755419911503,2666
HCTSA_NonInvasiveFetalECGThorax1_N.mat,1.0049243896607,12.5755419911503,2666
HCTSA_SonyAIBORobotSurface2_N.mat,1.01952835414164,71.2818796674651,2671
HCTSA_Phoneme_N.mat,1.0325589308861,7.18993209441035,2671
HCTSA_BeetleFly_N.mat,1.09299561842937,72.5,2663 2669
HCTSA_Mallat_N.mat,1.10689372000118,44.5833333333333,2661
HCTSA_ECGFiveDays_N.mat,1.10745628044389,67.1945701357466,2662 2667
HCTSA_Car_N.mat,1.13168139900145,44.1666666666667,2671
HCTSA_Lightning7_N.mat,1.15342590081848,34.7909371084957,2666
HCTSA_Wine_N.mat,1.17063856004935,61.2573099415205,2674
HCTSA_UWaveGestureLibraryX_N.mat,1.1731785108183,27.1890573089701,2660
HCTSA_NonInvasiveFetalECGThorax2_N.mat,1.24882178348445,14.0955887964737,2675
HCTSA_NonInvasiveFatalECGThorax2_N.mat,1.24882195322241,14.0955887964737,2675
HCTSA_ElectricDevices_N.mat,1.24997467691056,31.6147242584313,2662
HCTSA_FordA_N.mat,1.29073931734922,63.9372554192499,2665
HCTSA_ItalyPowerDemand_N.mat,1.30650996506753,70.1603047588602,2674
HCTSA_ECGMeditation_N.mat,1.3077861632298,61.7845117845118,2670
HCTSA_Fish_N.mat,1.34867548644663,32.2857142857143,2658
HCTSA_CricketY_N.mat,1.36403700188464,17.6923076923077,2664
HCTSA_Wafer_N.mat,1.36783875680014,77.8458749357361,2670
HCTSA_EpilepsyX_N.mat,1.42732022135435,60.027549709258,2661
HCTSA_MedicalImages_N.mat,1.44635549248001,26.3522001508524,2676
HCTSA_MiddlePhalanxOutlineAgeGroup_N.mat,1.47684422534564,64.2102149784399,2674
HCTSA_Meat_N.mat,1.48058754649433,74.1666666666667,2672
HCTSA_HandOutlines_N.mat,1.50700673173724,65.4008658008658,2677
HCTSA_Ham_N.mat,1.5128190517436,60.863290474941,2677
HCTSA_Adiac_N.mat,1.51493962170412,17.0112299737487,2677
HCTSA_OliveOil_N.mat,1.52026246743846,55.1911764705882,2665
HCTSA_Computers_N.mat,1.54205294411546,66.2,2666
HCTSA_SonyAIBORobotSurface1_N.mat,1.58328765538226,82.1859725265464,2671
HCTSA_ProximalPhalanxOutlineAgeGroup_N.mat,1.58428740434461,76.0545400745296,2674 2677
HCTSA_SmallKitchenAppliances_N.mat,1.59557080674338,62.2666666666667,2670
HCTSA_CBF_N.mat,1.62405544693161,61.505376344086,2664
HCTSA_TwoLeadECG_N.mat,1.72569212246283,76.9363166953528,2675
HCTSA_SwedishLeaf_N.mat,1.74581303663016,32.3555555555556,2658
HCTSA_MiddlePhalanxTW_N.mat,1.79962030063921,38.208809448018,2671
HCTSA_EthanolLevel_N.mat,1.81397083154804,30.8952380952381,2671
HCTSA_Haptics_N.mat,1.82513124851258,30.0861941237818,2659
HCTSA_Earthquakes_N.mat,1.84519312184146,65.6293828892006,2667
HCTSA_Symbols_N.mat,1.8803142715254,71.439897641454,2667
HCTSA_InsectWingbeatSound_N.mat,1.88779684760757,22.3181818181818,2658
HCTSA_ProximalPhalanxTW_N.mat,1.91663587905919,52.7566910602625,2674 2677
HCTSA_UWaveGestureLibraryY_N.mat,1.93215300114332,28.9820789675441,2671
HCTSA_DistalPhalanxOutlineCorrect_N.mat,1.96269500463256,62.4571274422906,2663
HCTSA_ECG5000_N.mat,2.00932273456051,38.8551787436031,2658
HCTSA_ECG200_N.mat,2.03064339372898,74.1779822691056,2672
HCTSA_Plane_N.mat,2.04737217261756,75.7142857142857,2658
HCTSA_Lightning2_N.mat,2.0615222325648,68.3219178082192,2669
HCTSA_Beef_N.mat,2.0885109862018,41.6666666666667,2672
HCTSA_StarLightCurves_N.mat,2.17940650824485,87.9015732320861,2671
HCTSA_DiatomSizeReduction_N.mat,2.20352618198812,79.5749185455068,2675
HCTSA_ProximalPhalanxOutlineCorrect_N.mat,2.22610083839001,72.2854418308964,2658
HCTSA_FacesUCR_N.mat,2.24355238785436,22.320202116182,2671
HCTSA_FaceAll_N.mat,2.30519329309326,22.4892774966711,2674
HCTSA_ArrowHead_N.mat,2.32729683241675,66.1285216840772,2660
HCTSA_LargeKitchenAppliances_N.mat,2.33303767018592,58.4,2669
HCTSA_ScreenType_N.mat,2.41277065312745,48.2666666666667,2661
HCTSA_CricketZ_N.mat,2.56152397641779,24.7435897435897,2675
HCTSA_AALTDChallenge_N.mat,2.58152266025459,60,2668
HCTSA_CricketX_N.mat,2.62113051197813,25.1282051282051,2674
HCTSA_Yoga_N.mat,2.74632142225631,62.4858757062147,2676
HCTSA_Strawberry_N.mat,2.75865082170846,76.2484673085939,2658
HCTSA_Coffee_N.mat,2.80722645875438,98.1481481481481,2663 2664
HCTSA_Herring_N.mat,2.9065682158299,64.820473644003,2669
HCTSA_GunPoint_N.mat,3.0379893286272,87,2675
HCTSA_PhalangesOutlinesCorrect_N.mat,3.26346373195441,60.5042697290931,2662
HCTSA_MiddlePhalanxOutlineCorrect_N.mat,3.53854358014855,64.2342178277218,2668
HCTSA_MoteStrain_N.mat,4.42294087388674,89.3786294283689,2658
HCTSA_ChlorineConcentration_N.mat,4.56555619948813,41.0755671145788,2659
HCTSA_SyntheticControl_N.mat,4.8285348506678,76.6666666666667,2667
