filename,number of classes
HCTSA_AALTDChallenge_N.mat,7
HCTSA_Adiac_N.mat,38
HCTSA_ArrowHead_N.mat,4
HCTSA_Beef_N.mat,6
HCTSA_BeetleFly_N.mat,3
HCTSA_BirdChicken_N.mat,3
HCTSA_CBF_N.mat,4
HCTSA_Car_N.mat,5
HCTSA_ChlorineConcentration_N.mat,4
HCTSA_CinCECGtorso_N.mat,5
HCTSA_Coffee_N.mat,3
HCTSA_Computers_N.mat,3
HCTSA_CricketX_N.mat,13
HCTSA_CricketY_N.mat,13
HCTSA_CricketZ_N.mat,13
HCTSA_DiatomSizeReduction_N.mat,5
HCTSA_DistalPhalanxOutlineAgeGroup_N.mat,4
HCTSA_DistalPhalanxOutlineCorrect_N.mat,3
HCTSA_DistalPhalanxTW_N.mat,7
HCTSA_ECG200_N.mat,3
HCTSA_ECG5000_N.mat,6
HCTSA_ECGFiveDays_N.mat,3
HCTSA_ECGMeditation_N.mat,4
HCTSA_Earthquakes_N.mat,3
HCTSA_ElectricDeviceOn_N.mat,3
HCTSA_ElectricDevices_N.mat,8
HCTSA_EpilepsyX_N.mat,5
HCTSA_EthanolLevel_N.mat,5
HCTSA_FaceAll_N.mat,15
HCTSA_FaceFour_N.mat,5
HCTSA_FacesUCR_N.mat,15
HCTSA_FiftyWords_N.mat,51
HCTSA_Fish_N.mat,8
HCTSA_FordA_N.mat,3
HCTSA_FordB_N.mat,3
HCTSA_GunPoint_N.mat,3
HCTSA_Ham_N.mat,3
HCTSA_HandOutlines_N.mat,3
HCTSA_Haptics_N.mat,6
HCTSA_HeartbeatBIDMC_N.mat,16
HCTSA_Herring_N.mat,3
HCTSA_InlineSkate_N.mat,8
HCTSA_InsectWingbeatSound_N.mat,12
HCTSA_ItalyPowerDemand_N.mat,3
HCTSA_LargeKitchenAppliances_N.mat,4
HCTSA_Lightning2_N.mat,3
HCTSA_Lightning7_N.mat,8
HCTSA_Mallat_N.mat,9
HCTSA_Meat_N.mat,4
HCTSA_MedicalImages_N.mat,11
HCTSA_MiddlePhalanxOutlineAgeGroup_N.mat,4
HCTSA_MiddlePhalanxOutlineCorrect_N.mat,3
HCTSA_MiddlePhalanxTW_N.mat,7
HCTSA_MoteStrain_N.mat,3
HCTSA_NonInvasiveFatalECGThorax1_N.mat,43
HCTSA_NonInvasiveFatalECGThorax2_N.mat,43
HCTSA_NonInvasiveFetalECGThorax1_N.mat,43
HCTSA_NonInvasiveFetalECGThorax2_N.mat,43
HCTSA_OSULeaf_N.mat,7
HCTSA_OliveOil_N.mat,5
HCTSA_PhalangesOutlinesCorrect_N.mat,3
HCTSA_Phoneme_N.mat,40
HCTSA_Plane_N.mat,8
HCTSA_ProximalPhalanxOutlineAgeGroup_N.mat,4
HCTSA_ProximalPhalanxOutlineCorrect_N.mat,3
HCTSA_ProximalPhalanxTW_N.mat,7
HCTSA_RefrigerationDevices_N.mat,4
HCTSA_ScreenType_N.mat,4
HCTSA_ShapeletSim_N.mat,3
HCTSA_ShapesAll_N.mat,61
HCTSA_SmallKitchenAppliances_N.mat,4
HCTSA_SonyAIBORobotSurface1_N.mat,3
HCTSA_SonyAIBORobotSurface2_N.mat,3
HCTSA_StarLightCurves_N.mat,4
HCTSA_Strawberry_N.mat,3
HCTSA_SwedishLeaf_N.mat,16
HCTSA_Symbols_N.mat,7
HCTSA_SyntheticControl_N.mat,7
HCTSA_ToeSegmentation1_N.mat,3
HCTSA_ToeSegmentation2_N.mat,3
HCTSA_Trace_N.mat,5
HCTSA_TwoLeadECG_N.mat,3
HCTSA_TwoPatterns_N.mat,5
HCTSA_UWaveGestureLibraryAll_N.mat,9
HCTSA_UWaveGestureLibraryX_N.mat,9
HCTSA_UWaveGestureLibraryY_N.mat,9
HCTSA_UWaveGestureLibraryZ_N.mat,9
HCTSA_Wafer_N.mat,3
HCTSA_Wine_N.mat,3
HCTSA_WordSynonyms_N.mat,26
HCTSA_WormsTwoClass_N.mat,3
HCTSA_Worms_N.mat,6
HCTSA_Yoga_N.mat,3
