filename,z_score of walker,accuracy,operation
HCTSA_OSULeaf_N.mat,-0.463475072399018,25.3527082196007,2638
HCTSA_HeartbeatBIDMC_N.mat,-0.371291469253235,12.0833333333333,2648
HCTSA_FordB_N.mat,-0.249136450762622,56.0834951829702,2639
HCTSA_Worms_N.mat,-0.237628259996904,29.9754769185962,2649
HCTSA_FiftyWords_N.mat,0.0315781101421942,6.87857985340482,2653
HCTSA_BirdChicken_N.mat,0.0922464765333636,65,2643 2649
HCTSA_SonyAIBORobotSurface2_N.mat,0.212650685194294,63.3330984923207,2654
HCTSA_Trace_N.mat,0.257808408746081,59,2640
HCTSA_ToeSegmentation2_N.mat,0.307777181961365,61.1943164362519,2650
HCTSA_FordA_N.mat,0.345488456107511,57.7815151914875,2650
HCTSA_MiddlePhalanxTW_N.mat,0.355756739355937,30.1120446177509,2652
HCTSA_ShapesAll_N.mat,0.411290989533257,7.91666666666667,2650
HCTSA_AALTDChallenge_N.mat,0.433235787258938,37.7777777777778,2638 2656
HCTSA_InlineSkate_N.mat,0.450331786126784,21.8263593922721,2652
HCTSA_Symbols_N.mat,0.534946847538706,50.5943130450102,2649
HCTSA_BeetleFly_N.mat,0.595075799772372,67.5,2640
HCTSA_EpilepsyX_N.mat,0.674523708054102,51.3344730709759,2652
HCTSA_ElectricDeviceOn_N.mat,0.679304476820984,62.008547008547,2648
HCTSA_ToeSegmentation1_N.mat,0.71827699598828,63.4151785714286,2655
HCTSA_MiddlePhalanxOutlineCorrect_N.mat,0.729865561606758,55.3929340432142,2657
HCTSA_SyntheticControl_N.mat,0.746204230228179,38.5,2645
HCTSA_ProximalPhalanxOutlineCorrect_N.mat,0.832073901554358,64.3833439287985,2651
HCTSA_CinCECGtorso_N.mat,0.84552955807377,49.2253521126761,2655
HCTSA_FaceFour_N.mat,0.891318094090311,47.8630968235431,2654
HCTSA_Haptics_N.mat,0.961750199953513,27.7565217391304,2644
HCTSA_PhalangesOutlinesCorrect_N.mat,0.979941808268882,55.0307346878681,2651
HCTSA_Wine_N.mat,0.994492784353078,60.233918128655,2654
HCTSA_ElectricDevices_N.mat,0.999584057724983,30.3509009747807,2638
HCTSA_Car_N.mat,1.00226563883788,43.3333333333333,2648
HCTSA_RefrigerationDevices_N.mat,1.01935231974683,46.4,2654
HCTSA_ProximalPhalanxTW_N.mat,1.09390352186978,44.7274062769454,2646
HCTSA_TwoPatterns_N.mat,1.10246845451829,33.5917667705753,2655
HCTSA_InsectWingbeatSound_N.mat,1.11913545654159,19.5,2652
HCTSA_ShapeletSim_N.mat,1.14129730778913,75.5,2639
HCTSA_MiddlePhalanxOutlineAgeGroup_N.mat,1.14504226802702,61.2431700368935,2652
HCTSA_UWaveGestureLibraryX_N.mat,1.16124935876701,27.1274437771531,2644
HCTSA_SonyAIBORobotSurface1_N.mat,1.20823359725808,77.8579555031182,2651
HCTSA_ArrowHead_N.mat,1.25733089847332,57.201646090535,2648
HCTSA_WormsTwoClass_N.mat,1.27973154428807,62.1328735915276,2649
HCTSA_ProximalPhalanxOutlineAgeGroup_N.mat,1.29149895806009,72.4237912523526,2646
HCTSA_DistalPhalanxOutlineAgeGroup_N.mat,1.35079937960288,68.7875359108928,2638
HCTSA_NonInvasiveFetalECGThorax1_N.mat,1.39921257984784,14.0976075631019,2657
HCTSA_NonInvasiveFatalECGThorax1_N.mat,1.39921504187891,14.0976075631019,2657
HCTSA_Earthquakes_N.mat,1.43996800530964,63.508064516129,2649
HCTSA_Fish_N.mat,1.44945127208057,32.8571428571429,2653 2654
HCTSA_StarLightCurves_N.mat,1.46308841669146,77.7086304530263,2646
HCTSA_NonInvasiveFetalECGThorax2_N.mat,1.50084756368006,15.097435288203,2642
